"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"Avon","0900302060","2006-2010","Without SSI","Percent","Margins of Error",3.4
"Avon","0900302060","2006-2010","Without SSI","Percent","Social Security Status",71.5
"Avon","0900302060","2006-2010","With SSI","Number","Margins of Error",165
"Avon","0900302060","2006-2010","With SSI","Number","Social Security Status",1931
"Avon","0900302060","2006-2010","With SSI","Percent","Margins of Error",2.5
"Avon","0900302060","2006-2010","With SSI","Percent","Social Security Status",28.5
"Avon","0900302060","2007-2011","Total","Number","Margins of Error",185
"Avon","0900302060","2007-2011","Total","Number","Social Security Status",6993
"Avon","0900302060","2007-2011","Without SSI","Number","Margins of Error",212
"Avon","0900302060","2007-2011","Without SSI","Number","Social Security Status",5130
"Avon","0900302060","2007-2011","Without SSI","Percent","Margins of Error",3.6
"Avon","0900302060","2007-2011","Without SSI","Percent","Social Security Status",73.4
"Avon","0900302060","2007-2011","With SSI","Number","Margins of Error",164
"Avon","0900302060","2007-2011","With SSI","Number","Social Security Status",1863
"Avon","0900302060","2007-2011","With SSI","Percent","Margins of Error",2.4
"Avon","0900302060","2007-2011","With SSI","Percent","Social Security Status",26.6
"Avon","0900302060","2008-2012","Total","Number","Margins of Error",169
"Avon","0900302060","2008-2012","Total","Number","Social Security Status",7115
"Avon","0900302060","2008-2012","Without SSI","Number","Margins of Error",191
"Avon","0900302060","2008-2012","Without SSI","Number","Social Security Status",5192
"Avon","0900302060","2008-2012","Without SSI","Percent","Margins of Error",3.2
"Avon","0900302060","2008-2012","Without SSI","Percent","Social Security Status",73
"Avon","0900302060","2008-2012","With SSI","Number","Margins of Error",185
"Avon","0900302060","2008-2012","With SSI","Number","Social Security Status",1923
"Avon","0900302060","2008-2012","With SSI","Percent","Margins of Error",2.7
"Avon","0900302060","2008-2012","With SSI","Percent","Social Security Status",27
"Avon","0900302060","2009-2013","Total","Number","Margins of Error",185
"Avon","0900302060","2009-2013","Total","Number","Social Security Status",7218
"Avon","0900302060","2009-2013","Without SSI","Number","Margins of Error",218
"Avon","0900302060","2009-2013","Without SSI","Number","Social Security Status",5175
"Avon","0900302060","2009-2013","Without SSI","Percent","Margins of Error",3.5
"Avon","0900302060","2009-2013","Without SSI","Percent","Social Security Status",71.7
"Avon","0900302060","2009-2013","With SSI","Number","Margins of Error",178
"Avon","0900302060","2009-2013","With SSI","Number","Social Security Status",2043
"Avon","0900302060","2009-2013","With SSI","Percent","Margins of Error",2.6
"Avon","0900302060","2009-2013","With SSI","Percent","Social Security Status",28.3
"Avon","0900302060","2010-2014","Total","Number","Margins of Error",182
"Avon","0900302060","2010-2014","Total","Number","Social Security Status",7207
"Avon","0900302060","2010-2014","Without SSI","Number","Margins of Error",196
"Avon","0900302060","2010-2014","Without SSI","Number","Social Security Status",5135
"Avon","0900302060","2010-2014","Without SSI","Percent","Margins of Error",2
"Avon","0900302060","2010-2014","Without SSI","Percent","Social Security Status",71.3
"Avon","0900302060","2010-2014","With SSI","Number","Margins of Error",155
"Avon","0900302060","2010-2014","With SSI","Number","Social Security Status",2072
"Avon","0900302060","2010-2014","With SSI","Percent","Margins of Error",2
"Avon","0900302060","2010-2014","With SSI","Percent","Social Security Status",28.7
"Avon","0900302060","2011-2015","Total","Number","Margins of Error",206
"Avon","0900302060","2011-2015","Total","Number","Social Security Status",7024
"Avon","0900302060","2011-2015","Without SSI","Number","Margins of Error",222
"Avon","0900302060","2011-2015","Without SSI","Number","Social Security Status",4948
"Avon","0900302060","2011-2015","Without SSI","Percent","Margins of Error",3.8
"Avon","0900302060","2011-2015","Without SSI","Percent","Social Security Status",70.4
"Avon","0900302060","2011-2015","With SSI","Number","Margins of Error",187
